股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
300632,0,0.74,-0.165627537,,
603708,0,0.74,0.292125089,,
2157,0,0.75,-0.083804677,,
2335,0,0.75,-0.232790883,,
300037,0,0.75,-0.125790042,,
300257,0,0.75,-0.110463515,,
600691,0,0.75,0.03214763,,
600958,0,0.75,-0.169145048,,
417,0,0.76,-0.132476216,,
2644,0,0.76,0.113347907,,
300261,0,0.76,-0.132150435,,
600616,0,0.76,-0.251730649,,
600704,0,0.76,-0.118335873,,
600879,0,0.76,-0.105435677,,
848,0,0.77,0.022165017,,
2368,0,0.77,-0.050895428,,
2653,0,0.77,-0.055135948,,
300195,0,0.77,-0.064264718,,
300403,0,0.77,-0.211437452,,
600723,0,0.77,-0.118942528,,
78,0,0.78,-0.050449341,,
2390,0,0.78,0.028223727,,
2431,0,0.78,-0.245390905,,
300210,0,0.78,-0.307678171,,
300527,0,0.78,0.229629311,,
603601,0,0.78,-0.089210738,,
571,0,0.79,-0.266272827,,
2369,0,0.79,0.023479192,,
2565,0,0.79,-0.128849547,,
300112,0,0.79,-0.125861201,,
600640,0,0.79,-0.220200974,,
600926,0,0.79,-0.159806272,,
603919,0,0.79,-0.151882493,,
600642,0,0.8,-0.046432281,,
600795,0,0.8,-0.136803749,,
533,0,0.81,-0.34277206,,
2567,0,0.81,-0.254356345,,
300592,0,0.81,-0.26737502,,
600330,0,0.81,-0.067848397,,
600728,0,0.81,-0.111588358,,
600790,0,0.81,-0.131819196,,
600851,0,0.81,0.063084777,,
601333,0,0.81,-0.038514461,,
601788,0,0.81,-0.142804853,,
603806,0,0.81,0.048729221,,
2152,0,0.82,-0.048133128,,
2246,0,0.82,-0.300123143,,
300150,0,0.82,-0.210967,,
300503,0,0.82,-0.233110456,,
600335,0,0.82,-0.167223339,,
902,0,0.83,0.010896225,,
2510,0,0.83,-0.235946305,,
300041,0,0.83,-0.148889608,,
600023,0,0.83,0.014320544,,
601137,0,0.83,-0.111170827,,
603811,0,0.83,-0.145658709,,
716,0,0.84,-0.218758819,,
600386,0,0.84,-0.224695426,,
600439,0,0.84,0.015423593,,
